work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2024,Entry-level,Freelance,Applied Data Scientist,USD,30000,United Kingdom,Remote,United Kingdom,M,Data Science and Research
2024,Executive,Full-time,Business Intelligence,USD,230000,United States,In-person,United States,M,BI and Visualization
2024,Executive,Full-time,Business Intelligence,USD,176900,United States,In-person,United States,M,BI and Visualization
2024,Senior,Full-time,Data Architect,USD,171210,Canada,In-person,Canada,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Architect,USD,92190,Canada,In-person,Canada,M,Data Architecture and Modeling
2024,Mid-level,Full-time,Data Science,GBP,57753,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Mid-level,Full-time,Data Science,GBP,47850,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Entry-level,Full-time,Insight Analyst,USD,50000,United States,Remote,United States,M,Data Analysis
2024,Entry-level,Full-time,Insight Analyst,USD,40000,United States,Remote,United States,M,Data Analysis
2024,Senior,Full-time,Data Engineer,USD,276000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,148000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Research Scientist,USD,234000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Scientist,USD,146000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Business Intelligence Analyst,USD,192300,United States,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Business Intelligence Analyst,USD,120200,United States,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Analytics Engineer,USD,132500,United States,In-person,United States,M,Leadership and Management
2024,Entry-level,Full-time,Analytics Engineer,USD,111500,United States,In-person,United States,M,Leadership and Management
2024,Entry-level,Full-time,Data Engineer,USD,234000,United States,In-person,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Engineer,USD,146000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Scientist,USD,322000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,168000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,152000,Canada,In-person,Canada,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,98000,Canada,In-person,Canada,M,Data Science and Research
2024,Senior,Full-time,Research Engineer,USD,138000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Engineer,USD,86000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Science,USD,268700,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Science,USD,130300,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,BI Developer,GBP,75000,United Kingdom,In-person,United Kingdom,M,BI and Visualization
2024,Senior,Full-time,BI Developer,GBP,50000,United Kingdom,In-person,United Kingdom,M,BI and Visualization
2024,Senior,Full-time,Data Analyst,USD,115000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Analyst,USD,105000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Scientist,GBP,100000,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,GBP,87500,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2024,Senior,Full-time,Business Intelligence Engineer,USD,156476,United States,Remote,United States,M,BI and Visualization
2024,Senior,Full-time,Business Intelligence Engineer,USD,104981,United States,Remote,United States,M,BI and Visualization
2024,Mid-level,Full-time,Data Engineer,USD,146000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Engineer,USD,110000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Scientist,USD,297000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,138000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Quality Engineer,USD,190000,United States,In-person,United States,M,Data Quality and Operations
2024,Senior,Full-time,Data Quality Engineer,USD,25000,United States,In-person,United States,M,Data Quality and Operations
2024,Mid-level,Full-time,Machine Learning Engineer,USD,160480,United States,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Machine Learning Engineer,USD,109920,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Engineer,USD,224000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,150000,United States,In-person,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Analyst,USD,84000,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,75800,United States,In-person,United States,M,Data Analysis
2024,Mid-level,Full-time,Cloud Database Engineer,USD,146125,United States,Remote,United States,M,Cloud and Database
2024,Mid-level,Full-time,Cloud Database Engineer,USD,82000,United States,Remote,United States,M,Cloud and Database
2024,Mid-level,Full-time,Business Intelligence,USD,207600,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,Full-time,Business Intelligence,USD,138400,United States,In-person,United States,M,BI and Visualization
2024,Entry-level,Full-time,Data Analyst,USD,94600,United States,In-person,United States,M,Data Analysis
2024,Entry-level,Full-time,Data Analyst,USD,75700,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Science,USD,331292,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Science,USD,244868,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,190000,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,155000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Engineer,USD,168000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Engineer,USD,158000,United States,In-person,United States,M,Data Engineering
2024,Executive,Full-time,Head of Data,USD,243000,United States,In-person,United States,M,Leadership and Management
2024,Executive,Full-time,Head of Data,USD,163000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Data Scientist,USD,190000,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,155000,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,170000,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Machine Learning Engineer,EUR,125333,Lithuania,In-person,Lithuania,M,Machine Learning and AI
2024,Senior,Full-time,Machine Learning Engineer,EUR,81333,Lithuania,In-person,Lithuania,M,Machine Learning and AI
2024,Senior,Full-time,Business Intelligence,USD,192500,United States,In-person,United States,M,BI and Visualization
2024,Senior,Full-time,Business Intelligence,USD,134900,United States,In-person,United States,M,BI and Visualization
2024,Senior,Full-time,Data Scientist,USD,227000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,USD,192780,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,BI Analyst,USD,85000,United States,Remote,United States,M,BI and Visualization
2024,Mid-level,Full-time,BI Analyst,USD,70000,United States,Remote,United States,M,BI and Visualization
2024,Senior,Full-time,Analytics Engineer,USD,180000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Analytics Engineer,USD,112000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Data Engineer,USD,130000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,100000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,140000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,USD,100000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Scientist,USD,175000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,USD,135000,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Manager,USD,110000,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Manager,USD,70000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Computational Biologist,USD,236000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Computational Biologist,USD,174000,United States,In-person,United States,M,Data Science and Research
